Date,minus_2inch_pct,minus_4inch_pct,minus_8inch_pct,minus_20inch_pct,minus_40inch_pct,site
2010-06-16,39.4,,39.6,32.9,,485:CO:SNTL
2010-06-17,38.5,,39.7,33.0,,485:CO:SNTL
2010-06-18,37.6,,39.7,33.1,,485:CO:SNTL
2010-06-19,37.0,,39.7,33.0,,485:CO:SNTL
2010-06-20,36.5,,39.5,32.9,,485:CO:SNTL
2010-06-21,36.1,,38.9,32.8,,485:CO:SNTL
2010-06-22,35.6,,38.5,32.6,,485:CO:SNTL
2010-06-23,35.7,,38.4,32.5,,485:CO:SNTL
2010-06-24,35.3,,38.2,32.5,,485:CO:SNTL
2010-06-25,35.2,,37.9,32.2,,485:CO:SNTL
2010-06-26,34.9,,37.5,32.2,,485:CO:SNTL
2010-06-27,34.9,,37.5,32.0,,485:CO:SNTL
2010-06-28,34.7,,37.5,32.2,,485:CO:SNTL
2010-06-29,34.6,,37.5,32.0,,485:CO:SNTL
2010-06-30,34.8,,37.4,31.8,,485:CO:SNTL
2010-07-01,34.5,,37.2,31.9,,485:CO:SNTL
2010-07-02,34.5,,37.3,31.9,,485:CO:SNTL
2010-07-03,34.3,,37.1,31.5,,485:CO:SNTL
2010-07-04,34.4,,37.3,31.1,,485:CO:SNTL
2010-07-05,34.1,,37.1,30.9,,485:CO:SNTL
2010-07-06,33.9,,36.8,30.7,,485:CO:SNTL
2010-07-07,33.9,,36.7,30.7,,485:CO:SNTL
2010-07-08,34.2,,36.6,30.8,,485:CO:SNTL
2010-07-09,34.1,,36.6,30.7,,485:CO:SNTL
2010-07-10,33.6,,36.6,30.6,,485:CO:SNTL
2010-07-11,33.7,,36.7,30.5,,485:CO:SNTL
2010-07-12,34.0,,36.7,30.6,,485:CO:SNTL
2010-07-13,33.6,,36.4,30.3,,485:CO:SNTL
2010-07-14,32.8,,36.4,27.3,,485:CO:SNTL
2010-07-15,32.6,,36.2,26.6,,485:CO:SNTL
2010-07-16,31.2,,35.9,25.7,,485:CO:SNTL
2010-07-17,31.0,,36.0,25.3,,485:CO:SNTL
2010-07-18,29.3,,35.7,25.3,,485:CO:SNTL
2010-07-19,29.2,,35.7,24.8,,485:CO:SNTL
2010-07-20,28.4,,35.5,24.7,,485:CO:SNTL
2010-07-21,28.7,,37.1,30.4,,485:CO:SNTL
2010-07-22,30.6,,36.5,30.4,,485:CO:SNTL
2010-07-23,30.8,,36.3,28.6,,485:CO:SNTL
2010-07-24,30.1,,35.9,26.1,,485:CO:SNTL
2010-07-25,29.4,,35.7,25.3,,485:CO:SNTL
2010-07-26,29.4,,35.6,25.1,,485:CO:SNTL
2010-07-27,29.1,,35.7,25.1,,485:CO:SNTL
2010-07-28,28.6,,35.4,24.2,,485:CO:SNTL
2010-07-29,28.8,,35.7,24.0,,485:CO:SNTL
2010-07-30,32.2,,36.3,27.3,,485:CO:SNTL
2010-07-31,32.5,,36.9,27.9,,485:CO:SNTL
2010-08-01,32.3,,36.3,27.2,,485:CO:SNTL
2010-08-02,33.4,,36.8,30.0,,485:CO:SNTL
2010-08-03,34.1,,38.1,30.5,,485:CO:SNTL
2010-08-04,33.5,,37.3,30.3,,485:CO:SNTL
2010-08-05,33.5,,37.3,30.5,,485:CO:SNTL
2010-08-06,33.2,,36.8,30.4,,485:CO:SNTL
2010-08-07,32.5,,36.6,30.3,,485:CO:SNTL
2010-08-08,33.5,,36.4,28.9,,485:CO:SNTL
2010-08-09,32.6,,36.3,28.5,,485:CO:SNTL
2010-08-10,33.2,,36.3,28.6,,485:CO:SNTL
2010-08-11,32.3,,36.1,27.8,,485:CO:SNTL
2010-08-12,32.4,,35.9,27.5,,485:CO:SNTL
2010-08-13,33.2,,36.2,27.9,,485:CO:SNTL
2010-08-14,32.6,,36.2,27.9,,485:CO:SNTL
2010-08-15,31.8,,36.1,27.6,,485:CO:SNTL
2010-08-16,31.5,,36.0,26.8,,485:CO:SNTL
2010-08-17,34.3,,36.2,27.9,,485:CO:SNTL
2010-08-18,33.0,,36.0,27.8,,485:CO:SNTL
2010-08-19,32.4,,36.0,27.3,,485:CO:SNTL
2010-08-20,33.5,,36.3,26.9,,485:CO:SNTL
2010-08-21,32.4,,36.0,26.9,,485:CO:SNTL
2010-08-22,32.2,,35.7,26.5,,485:CO:SNTL
2010-08-23,31.7,,35.7,26.1,,485:CO:SNTL
2010-08-24,31.2,,35.6,26.0,,485:CO:SNTL
2010-08-25,31.4,,35.8,25.4,,485:CO:SNTL
2010-08-26,30.8,,35.5,24.5,,485:CO:SNTL
2010-08-27,30.0,,35.5,24.6,,485:CO:SNTL
2010-08-28,28.6,,35.2,24.1,,485:CO:SNTL
2010-08-29,27.6,,35.0,23.2,,485:CO:SNTL
2010-08-30,27.3,,35.1,23.3,,485:CO:SNTL
2010-08-31,27.7,,34.9,23.2,,485:CO:SNTL
2010-09-01,27.1,,34.5,22.5,,485:CO:SNTL
2010-09-02,26.4,,34.3,22.2,,485:CO:SNTL
2010-09-03,24.7,,34.1,22.1,,485:CO:SNTL
2010-09-04,24.0,,33.8,21.9,,485:CO:SNTL
2010-09-05,23.1,,33.6,21.1,,485:CO:SNTL
2010-09-06,20.8,,33.2,20.6,,485:CO:SNTL
2010-09-07,20.1,,33.0,20.2,,485:CO:SNTL
2010-09-08,19.5,,32.6,20.7,,485:CO:SNTL
2010-09-09,19.5,,32.3,20.2,,485:CO:SNTL
2010-09-10,17.5,,31.9,20.4,,485:CO:SNTL
2010-09-11,17.7,,31.7,19.3,,485:CO:SNTL
2010-09-12,16.1,,31.6,19.1,,485:CO:SNTL
2010-09-13,15.0,,31.2,19.3,,485:CO:SNTL
