Date,minus_2inch_pct,minus_4inch_pct,minus_8inch_pct,minus_20inch_pct,minus_40inch_pct,site
2013-08-28,5.2,5.8,16.8,3.2,4.2,415:CO:SNTL
2013-08-29,5.9,5.8,15.5,3.7,4.3,415:CO:SNTL
2013-08-30,6.9,15.0,14.9,3.5,4.1,415:CO:SNTL
2013-08-31,7.4,24.9,16.7,3.5,4.2,415:CO:SNTL
2013-09-01,7.9,24.9,17.7,3.5,4.2,415:CO:SNTL
2013-09-02,7.6,23.2,16.9,4.1,4.3,415:CO:SNTL
2013-09-03,7.6,20.2,16.3,4.1,4.5,415:CO:SNTL
2013-09-04,9.1,23.1,16.2,3.6,4.5,415:CO:SNTL
2013-09-05,8.9,25.7,16.3,3.8,4.7,415:CO:SNTL
2013-09-06,8.9,23.7,16.3,3.9,4.5,415:CO:SNTL
2013-09-07,10.1,22.3,17.0,3.9,4.4,415:CO:SNTL
2013-09-08,9.6,22.5,16.9,4.7,4.1,415:CO:SNTL
2013-09-09,9.7,22.0,17.0,5.2,3.6,415:CO:SNTL
2013-09-10,13.3,22.6,17.5,6.1,3.6,415:CO:SNTL
2013-09-11,11.5,27.8,19.9,7.1,3.8,415:CO:SNTL
2013-09-12,11.4,26.9,21.1,12.7,3.9,415:CO:SNTL
2013-09-13,12.9,26.5,22.1,17.8,4.0,415:CO:SNTL
2013-09-14,14.2,30.7,24.6,21.4,4.2,415:CO:SNTL
2013-09-15,15.3,31.1,26.2,23.1,3.6,415:CO:SNTL
2013-09-16,15.9,31.9,27.4,23.5,2.6,415:CO:SNTL
2013-09-17,15.4,32.4,28.3,23.9,1.5,415:CO:SNTL
2013-09-18,14.2,31.8,28.0,23.6,0.5,415:CO:SNTL
2013-09-19,19.9,34.1,29.0,23.8,0.0,415:CO:SNTL
2013-09-20,16.2,34.1,29.9,24.4,0.0,415:CO:SNTL
2013-09-21,14.9,33.2,29.4,24.3,0.0,415:CO:SNTL
2013-09-22,14.2,32.5,28.7,24.1,0.0,415:CO:SNTL
2013-09-23,19.0,34.1,29.5,23.9,0.0,415:CO:SNTL
2013-09-24,16.8,34.7,30.5,24.6,0.0,415:CO:SNTL
2013-09-25,16.6,34.4,30.4,24.6,0.0,415:CO:SNTL
2013-09-26,15.1,33.7,29.9,24.5,0.0,415:CO:SNTL
2013-09-27,14.0,32.9,29.3,24.3,0.0,415:CO:SNTL
2013-09-28,16.5,34.1,30.0,24.2,0.0,415:CO:SNTL
2013-09-29,15.0,34.1,30.0,24.5,0.0,415:CO:SNTL
2013-09-30,14.8,33.7,29.7,24.1,0.0,415:CO:SNTL
2013-10-01,13.9,33.2,29.3,23.9,0.0,415:CO:SNTL
2013-10-02,13.9,32.8,29.0,23.9,0.0,415:CO:SNTL
2013-10-03,13.3,32.2,28.3,23.5,0.0,415:CO:SNTL
2013-10-04,12.5,31.6,28.2,23.0,0.0,415:CO:SNTL
2013-10-05,13.1,31.8,28.1,23.1,0.0,415:CO:SNTL
2013-10-06,13.2,32.0,28.2,23.1,0.0,415:CO:SNTL
2013-10-07,12.4,32.2,28.4,22.8,0.0,415:CO:SNTL
2013-10-08,12.5,32.6,28.5,22.7,0.0,415:CO:SNTL
2013-10-09,13.0,32.5,28.6,22.5,0.0,415:CO:SNTL
2013-10-10,12.7,32.4,28.6,22.4,0.0,415:CO:SNTL
2013-10-11,12.8,32.3,28.4,22.4,0.0,415:CO:SNTL
2013-10-12,13.4,32.6,28.9,22.5,0.0,415:CO:SNTL
2013-10-13,11.4,32.8,28.8,22.4,0.0,415:CO:SNTL
2013-10-14,13.5,33.0,28.8,22.7,0.0,415:CO:SNTL
2013-10-15,13.0,32.9,29.1,22.8,0.0,415:CO:SNTL
2013-10-16,13.0,33.0,29.1,23.0,0.0,415:CO:SNTL
2013-10-17,12.8,33.0,29.0,22.9,0.0,415:CO:SNTL
2013-10-18,11.8,32.5,29.0,22.9,0.0,415:CO:SNTL
2013-10-19,11.8,32.6,28.8,22.9,0.0,415:CO:SNTL
2013-10-20,11.3,32.4,28.6,22.8,0.0,415:CO:SNTL
2013-10-21,11.0,32.4,28.5,22.8,0.0,415:CO:SNTL
2013-10-22,10.2,32.2,28.5,22.9,0.0,415:CO:SNTL
2013-10-23,10.2,32.0,28.1,22.6,0.0,415:CO:SNTL
2013-10-24,9.4,32.0,28.5,22.4,0.0,415:CO:SNTL
2013-10-25,9.4,31.4,28.2,22.3,0.0,415:CO:SNTL
2013-10-26,9.1,31.5,28.0,22.4,0.0,415:CO:SNTL
2013-10-27,7.0,31.3,27.9,22.4,0.0,415:CO:SNTL
2013-10-28,6.1,30.2,27.7,22.0,0.0,415:CO:SNTL
2013-10-29,5.4,29.6,27.7,22.0,0.0,415:CO:SNTL
2013-10-30,6.0,28.8,27.4,22.0,0.0,415:CO:SNTL
2013-10-31,5.1,27.8,27.2,21.9,0.0,415:CO:SNTL
2013-11-01,5.2,27.2,26.9,21.7,0.0,415:CO:SNTL
2013-11-02,5.6,27.7,26.9,21.6,0.0,415:CO:SNTL
2013-11-03,5.0,27.4,26.6,21.4,0.0,415:CO:SNTL
2013-11-04,5.5,27.3,26.5,21.4,0.0,415:CO:SNTL
2013-11-05,5.6,27.0,26.8,21.2,0.0,415:CO:SNTL
2013-11-06,5.1,26.3,26.4,21.3,0.0,415:CO:SNTL
2013-11-07,4.9,23.6,26.1,21.2,0.0,415:CO:SNTL
2013-11-08,5.1,20.4,25.8,20.9,0.0,415:CO:SNTL
2013-11-09,4.9,20.4,25.8,20.8,0.0,415:CO:SNTL
2013-11-10,4.9,17.9,25.7,20.9,0.0,415:CO:SNTL
2013-11-11,4.3,16.5,25.4,20.8,0.0,415:CO:SNTL
2013-11-12,4.6,14.9,25.2,20.4,0.0,415:CO:SNTL
2013-11-13,3.9,13.8,24.8,20.4,0.0,415:CO:SNTL
2013-11-14,3.9,12.6,,20.2,0.0,415:CO:SNTL
2013-11-15,3.8,12.5,24.3,20.1,0.0,415:CO:SNTL
2013-11-16,4.2,11.8,24.0,19.9,0.0,415:CO:SNTL
2013-11-17,4.0,12.2,23.6,19.9,0.0,415:CO:SNTL
2013-11-18,3.7,12.2,23.0,19.6,36.5,415:CO:SNTL
2013-11-19,4.1,12.1,22.7,19.7,36.5,415:CO:SNTL
2013-11-20,4.0,12.1,22.5,19.5,0.0,415:CO:SNTL
2013-11-21,4.1,12.3,22.8,19.2,36.3,415:CO:SNTL
2013-11-22,4.6,13.2,22.9,19.1,36.3,415:CO:SNTL
2013-11-23,4.7,12.9,22.6,18.9,36.3,415:CO:SNTL
2013-11-24,4.1,13.0,23.0,19.1,36.3,415:CO:SNTL
2013-11-25,4.7,13.0,23.0,18.9,36.4,415:CO:SNTL
2013-11-26,4.1,12.7,22.8,18.6,36.4,415:CO:SNTL
2013-11-27,4.0,12.3,22.8,18.6,36.4,415:CO:SNTL
2013-11-28,4.2,11.9,22.4,18.7,36.2,415:CO:SNTL
2013-11-29,3.5,12.4,21.8,18.5,36.2,415:CO:SNTL
2013-11-30,4.1,12.0,21.1,18.3,36.2,415:CO:SNTL
2013-12-01,3.8,11.4,20.7,18.2,36.2,415:CO:SNTL
2013-12-02,3.5,11.4,19.6,18.2,36.2,415:CO:SNTL
2013-12-03,3.9,12.1,19.2,18.2,36.2,415:CO:SNTL
2013-12-04,3.8,12.2,19.2,17.8,36.1,415:CO:SNTL
